"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M5A Large","m5a.large","8.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0560 hourly","$0.0350 hourly","$0.0254 hourly","$0.1480 hourly","$0.1270 hourly"
"C7GD Large","c7gd.large","4.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0576 hourly","$0.0363 hourly","$0.0180 hourly","unavailable","unavailable"
"M7G Large","m7g.large","8.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0583 hourly","$0.0385 hourly","$0.0184 hourly","unavailable","unavailable"
"M6GD Large","m6gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0604 hourly","$0.0381 hourly","$0.0221 hourly","unavailable","unavailable"
"R6G Large","r6g.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0650 hourly","$0.0410 hourly","$0.0262 hourly","unavailable","unavailable"
"M5AD Large","m5ad.large","8.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.0670 hourly","$0.0420 hourly","$0.0269 hourly","$0.1590 hourly","$0.1340 hourly"
"M7GD Large","m7gd.large","8.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0710 hourly","$0.0447 hourly","$0.0207 hourly","unavailable","unavailable"
"R6A Large","r6a.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0715 hourly","$0.0470 hourly","$0.0274 hourly","$0.1635 hourly","$0.1390 hourly"
"R5A Large","r5a.large","16.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0720 hourly","$0.0450 hourly","$0.0306 hourly","$0.1640 hourly","$0.1370 hourly"
"R6GD Large","r6gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 10 Gigabit","$0.0747 hourly","$0.0471 hourly","$0.0264 hourly","unavailable","unavailable"
"R7G Large","r7g.large","16.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0751 hourly","$0.0493 hourly","$0.0250 hourly","unavailable","unavailable"
"R5AD Large","r5ad.large","16.0 GiB","2 vCPUs","75 GB                 NVMe SSD","Up to 10 Gigabit","$0.0830 hourly","$0.0520 hourly","$0.0317 hourly","$0.1750 hourly","$0.1440 hourly"
"C5 High-CPU Large","c5.large","4.0 GiB","2 vCPUs","EBS only","Up to 10 Gigabit","$0.0850 hourly","$0.0540 hourly","$0.0399 hourly","$0.1770 hourly","$0.1460 hourly"
"C6I Large","c6i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0850 hourly","$0.0563 hourly","$0.0251 hourly","$0.1770 hourly","$0.1483 hourly"
"C6G Extra Large","c6g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.0852 hourly","$0.0537 hourly","$0.0310 hourly","unavailable","unavailable"
"C6GN Large","c6gn.large","4.0 GiB","2 vCPUs","EBS only","Up to 25 Gigabit","$0.0865 hourly","$0.0546 hourly","$0.0271 hourly","unavailable","unavailable"
"R7GD Large","r7gd.large","16.0 GiB","2 vCPUs","118 GB                 NVMe SSD","Up to 12.5 Gigabit","$0.0880 hourly","$0.0554 hourly","$0.0284 hourly","unavailable","unavailable"
"C7I Large","c7i.large","4.0 GiB","2 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0892 hourly","$0.0591 hourly","$0.0278 hourly","$0.1812 hourly","$0.1511 hourly"
"T3 Large","t3.large","8.0 GiB","2 vCPUs                                                         for a                   7h 12m                   burst","EBS only","Up to 5 Gigabit","$0.0896 hourly","$0.0564 hourly","$0.0420 hourly","$0.1172 hourly","$0.0840 hourly"
"T4G Extra Large","t4g.xlarge","16.0 GiB","4 vCPUs                                                         for a                   9h 36m                   burst","EBS only","Up to 5 Gigabit","$0.0896 hourly","$0.0567 hourly","$0.0344 hourly","unavailable","unavailable"
"C6A Extra Large","c6a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0935 hourly","$0.0619 hourly","$0.0423 hourly","$0.2775 hourly","$0.2459 hourly"
"C5A Extra Large","c5a.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","$0.0940 hourly","$0.0590 hourly","$0.0524 hourly","$0.2780 hourly","$0.2430 hourly"
"C6GD Extra Large","c6gd.xlarge","8.0 GiB","4 vCPUs","237 GB                 NVMe SSD","Up to 10 Gigabit","$0.0980 hourly","$0.0617 hourly","$0.0451 hourly","unavailable","unavailable"
"C7G Extra Large","c7g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 12.5 Gigabit","$0.0982 hourly","$0.0650 hourly","$0.0354 hourly","unavailable","unavailable"
